"FilePath","PackageManager","PackageName","Version","Vulnerable","Details","MinimumPatchedVersion","LatestVersion","Status"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\webpack-dev-middleware\package.json","npm","@babel/cli","7.16.7","False","No vulnerabilities reported by npm audit for @babel/cli@7.16.7",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\schema-utils\package.json","npm","@babel/cli","7.17.0","False","No vulnerabilities reported by npm audit for @babel/cli@7.17.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\copy-webpack-plugin\package.json","npm","@babel/cli","7.17.10","False","No vulnerabilities reported by npm audit for @babel/cli@7.17.10",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\webpack-dev-server\package.json","npm","@babel/cli","7.17.3","False","No vulnerabilities reported by npm audit for @babel/cli@7.17.3",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\helper-define-polyfill-provider\package.json","npm","@babel/cli","7.17.6","False","No vulnerabilities reported by npm audit for @babel/cli@7.17.6",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\fs-monkey\package.json","npm","@babel/cli","7.18.6","False","No vulnerabilities reported by npm audit for @babel/cli@7.18.6",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\less-loader\package.json","npm","@babel/cli","7.19.3","False","No vulnerabilities reported by npm audit for @babel/cli@7.19.3",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\readable-stream\package.json","npm","@babel/cli","7.2.0","False","No vulnerabilities reported by npm audit for @babel/cli@7.2.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\emoji-regex\package.json","npm","@babel/cli","7.2.3","False","No vulnerabilities reported by npm audit for @babel/cli@7.2.3",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\terser-webpack-plugin\package.json","npm","@babel/cli","7.22.15","False","No vulnerabilities reported by npm audit for @babel/cli@7.22.15",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\ignore\package.json","npm","@babel/cli","7.22.9","False","No vulnerabilities reported by npm audit for @babel/cli@7.22.9",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\bootstrap\package.json","npm","@babel/cli","7.23.9","False","No vulnerabilities reported by npm audit for @babel/cli@7.23.9",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@isaacs\cliui\node_modules\emoji-regex\package.json","npm","@babel/cli","7.4.4","False","No vulnerabilities reported by npm audit for @babel/cli@7.4.4",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\es-module-lexer\package.json","npm","@babel/cli","7.5.5","False","No vulnerabilities reported by npm audit for @babel/cli@7.5.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\preset-modules\package.json","npm","@babel/cli","7.7.0","False","No vulnerabilities reported by npm audit for @babel/cli@7.7.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\babel-plugin-istanbul\package.json","npm","@babel/cli","7.7.5","False","No vulnerabilities reported by npm audit for @babel/cli@7.7.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\regenerator-transform\package.json","npm","@babel/cli","7.8.4","False","No vulnerabilities reported by npm audit for @babel/cli@7.8.4",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\parse-json\package.json","npm","@babel/code-frame","7.0.0","False","No vulnerabilities reported by npm audit for @babel/code-frame@7.0.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\template\package.json","npm","@babel/code-frame","7.18.6","False","No vulnerabilities reported by npm audit for @babel/code-frame@7.18.6",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\helper-wrap-function\node_modules\@babel\template\package.json","npm","@babel/code-frame","7.23.5","False","No vulnerabilities reported by npm audit for @babel/code-frame@7.23.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\traverse\package.json","npm","@babel/code-frame","7.24.2","False","No vulnerabilities reported by npm audit for @babel/code-frame@7.24.2",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\babel-plugin-polyfill-corejs2\package.json","npm","@babel/compat-data","7.17.7","False","No vulnerabilities reported by npm audit for @babel/compat-data@7.17.7",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\preset-env\package.json","npm","@babel/compat-data","7.20.1","False","No vulnerabilities reported by npm audit for @babel/compat-data@7.20.1",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-proposal-object-rest-spread\package.json","npm","@babel/compat-data","7.20.5","False","No vulnerabilities reported by npm audit for @babel/compat-data@7.20.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\helper-compilation-targets\package.json","npm","@babel/compat-data","7.23.5","False","No vulnerabilities reported by npm audit for @babel/compat-data@7.23.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\helper-module-transforms\package.json","npm","@babel/core","7.0.0","False","No vulnerabilities reported by npm audit for @babel/core@7.0.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-proposal-dynamic-import\package.json","npm","@babel/core","7.0.0-0","False","No vulnerabilities reported by npm audit for @babel/core@7.0.0-0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\preset-modules\package.json","npm","@babel/core","7.0.0-0 || ^8.0.0-0 <8.0.0","False","No vulnerabilities reported by npm audit for @babel/core@7.0.0-0 || ^8.0.0-0 <8.0.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@xtuc\ieee754\package.json","npm","@babel/core","7.0.0-beta.54","False","No vulnerabilities reported by npm audit for @babel/core@7.0.0-beta.54",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-syntax-logical-assignment-operators\package.json","npm","@babel/core","7.10.4","False","No vulnerabilities reported by npm audit for @babel/core@7.10.4",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\postcss-selector-parser\package.json","npm","@babel/core","7.11.6","False","No vulnerabilities reported by npm audit for @babel/core@7.11.6",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\babel-loader\package.json","npm","@babel/core","7.12.0","False","No vulnerabilities reported by npm audit for @babel/core@7.12.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\yaml\package.json","npm","@babel/core","7.12.10","False","No vulnerabilities reported by npm audit for @babel/core@7.12.10",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-syntax-class-properties\package.json","npm","@babel/core","7.12.13","False","No vulnerabilities reported by npm audit for @babel/core@7.12.13",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@popperjs\core\package.json","npm","@babel/core","7.12.17","False","No vulnerabilities reported by npm audit for @babel/core@7.12.17",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\istanbul-lib-instrument\package.json","npm","@babel/core","7.12.3","False","No vulnerabilities reported by npm audit for @babel/core@7.12.3",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-bugfix-v8-spread-parameters-in-optional-chaining\package.json","npm","@babel/core","7.13.0","False","No vulnerabilities reported by npm audit for @babel/core@7.13.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-syntax-top-level-await\package.json","npm","@babel/core","7.14.5","False","No vulnerabilities reported by npm audit for @babel/core@7.14.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\webpack\node_modules\schema-utils\package.json","npm","@babel/core","7.14.6","False","No vulnerabilities reported by npm audit for @babel/core@7.14.6",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\webpack\node_modules\acorn-import-assertions\package.json","npm","@babel/core","7.15.0","False","No vulnerabilities reported by npm audit for @babel/core@7.15.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\webpack-dev-server\node_modules\webpack-dev-middleware\package.json","npm","@babel/core","7.16.7","False","No vulnerabilities reported by npm audit for @babel/core@7.16.7",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\schema-utils\package.json","npm","@babel/core","7.17.0","False","No vulnerabilities reported by npm audit for @babel/core@7.17.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\copy-webpack-plugin\package.json","npm","@babel/core","7.17.10","False","No vulnerabilities reported by npm audit for @babel/core@7.17.10",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\webpack-dev-server\package.json","npm","@babel/core","7.17.5","False","No vulnerabilities reported by npm audit for @babel/core@7.17.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\babel-plugin-polyfill-corejs2\package.json","npm","@babel/core","7.17.8","False","No vulnerabilities reported by npm audit for @babel/core@7.17.8",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-proposal-json-strings\package.json","npm","@babel/core","7.18.6","False","No vulnerabilities reported by npm audit for @babel/core@7.18.6",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-proposal-export-namespace-from\package.json","npm","@babel/core","7.18.9","False","No vulnerabilities reported by npm audit for @babel/core@7.18.9",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\less-loader\package.json","npm","@babel/core","7.19.3","False","No vulnerabilities reported by npm audit for @babel/core@7.19.3",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-transform-runtime\package.json","npm","@babel/core","7.19.6","False","No vulnerabilities reported by npm audit for @babel/core@7.19.6",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\readable-stream\package.json","npm","@babel/core","7.2.0","False","No vulnerabilities reported by npm audit for @babel/core@7.2.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@angular-devkit\build-angular\package.json","npm","@babel/core","7.20.12","False","No vulnerabilities reported by npm audit for @babel/core@7.20.12",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\preset-env\package.json","npm","@babel/core","7.20.2","False","No vulnerabilities reported by npm audit for @babel/core@7.20.2",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\css-loader\package.json","npm","@babel/core","7.20.5","False","No vulnerabilities reported by npm audit for @babel/core@7.20.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-proposal-logical-assignment-operators\package.json","npm","@babel/core","7.20.7","False","No vulnerabilities reported by npm audit for @babel/core@7.20.7",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-proposal-class-static-block\package.json","npm","@babel/core","7.21.0","False","No vulnerabilities reported by npm audit for @babel/core@7.21.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\webpack\package.json","npm","@babel/core","7.21.4","False","No vulnerabilities reported by npm audit for @babel/core@7.21.4",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\helper-create-regexp-features-plugin\package.json","npm","@babel/core","7.22.15","False","No vulnerabilities reported by npm audit for @babel/core@7.22.15",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\terser-webpack-plugin\package.json","npm","@babel/core","7.22.17","False","No vulnerabilities reported by npm audit for @babel/core@7.22.17",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\helper-remap-async-to-generator\package.json","npm","@babel/core","7.22.20","False","No vulnerabilities reported by npm audit for @babel/core@7.22.20",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-transform-named-capturing-groups-regex\package.json","npm","@babel/core","7.22.5","False","No vulnerabilities reported by npm audit for @babel/core@7.22.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\ignore\package.json","npm","@babel/core","7.22.9","False","No vulnerabilities reported by npm audit for @babel/core@7.22.9",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\bootstrap\package.json","npm","@babel/core","7.23.9","False","No vulnerabilities reported by npm audit for @babel/core@7.23.9",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-transform-unicode-regex\package.json","npm","@babel/core","7.24.1","False","No vulnerabilities reported by npm audit for @babel/core@7.24.1",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\helper-module-imports\package.json","npm","@babel/core","7.24.3","False","No vulnerabilities reported by npm audit for @babel/core@7.24.3",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-transform-typeof-symbol\package.json","npm","@babel/core","7.24.5","False","No vulnerabilities reported by npm audit for @babel/core@7.24.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\jquery\package.json","npm","@babel/core","7.3.3","False","No vulnerabilities reported by npm audit for @babel/core@7.3.3",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\emoji-regex\package.json","npm","@babel/core","7.3.4","False","No vulnerabilities reported by npm audit for @babel/core@7.3.4",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\helper-define-polyfill-provider\package.json","npm","@babel/core","7.4.0-0","False","No vulnerabilities reported by npm audit for @babel/core@7.4.0-0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@isaacs\cliui\node_modules\emoji-regex\package.json","npm","@babel/core","7.4.4","False","No vulnerabilities reported by npm audit for @babel/core@7.4.4",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\es-module-lexer\package.json","npm","@babel/core","7.5.5","False","No vulnerabilities reported by npm audit for @babel/core@7.5.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\preset-modules\package.json","npm","@babel/core","7.7.2","False","No vulnerabilities reported by npm audit for @babel/core@7.7.2",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\babel-plugin-istanbul\package.json","npm","@babel/core","7.7.5","False","No vulnerabilities reported by npm audit for @babel/core@7.7.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-syntax-dynamic-import\package.json","npm","@babel/core","7.8.0","False","No vulnerabilities reported by npm audit for @babel/core@7.8.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\plugin-syntax-export-namespace-from\package.json","npm","@babel/core","7.8.3","False","No vulnerabilities reported by npm audit for @babel/core@7.8.3",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\regenerator-transform\package.json","npm","@babel/core","7.8.4","False","No vulnerabilities reported by npm audit for @babel/core@7.8.4",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\socket.io-parser\package.json","npm","@babel/core","7.9.6","False","No vulnerabilities reported by npm audit for @babel/core@7.9.6",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\preset-env\package.json","npm","@babel/core-7.12","npm:@babel/core@7.12.9","False","No vulnerabilities reported by npm audit for @babel/core-7.12@npm:@babel/core@7.12.9",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\postcss-selector-parser\package.json","npm","@babel/eslint-parser","7.11.5","False","No vulnerabilities reported by npm audit for @babel/eslint-parser@7.11.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\copy-webpack-plugin\package.json","npm","@babel/eslint-parser","7.16.5","False","No vulnerabilities reported by npm audit for @babel/eslint-parser@7.16.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\webpack-dev-server\package.json","npm","@babel/eslint-parser","7.17.0","False","No vulnerabilities reported by npm audit for @babel/eslint-parser@7.17.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\mini-css-extract-plugin\package.json","npm","@babel/eslint-parser","7.19.1","False","No vulnerabilities reported by npm audit for @babel/eslint-parser@7.19.1",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\postcss-selector-parser\package.json","npm","@babel/eslint-plugin","7.11.5","False","No vulnerabilities reported by npm audit for @babel/eslint-plugin@7.11.5",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@babel\helper-define-polyfill-provider\package.json","npm","@babel/generator","7.17.7","False","No vulnerabilities reported by npm audit for @babel/generator@7.17.7",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@angular\compiler-cli\node_modules\@babel\core\package.json","npm","@babel/generator","7.19.3","False","No vulnerabilities reported by npm audit for @babel/generator@7.19.3",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@angular-devkit\build-angular\package.json","npm","@babel/generator","7.20.14","False","No vulnerabilities reported by npm audit for @babel/generator@7.20.14",,"N/A","Current"
